,embedding_x,embedding_y
205,-3.869618,-1.7988193
206,12.4198265,-7.3628454
207,-4.7907753,4.101878
208,-4.8497005,11.150368
209,-0.81856745,13.490964
210,-1.2546653,2.5493352
211,10.335451,15.250836
212,-4.416419,-2.6309445
213,-8.121345,4.0861025
214,14.069683,-7.7236643
215,12.252005,-7.334493
216,-5.418049,4.674385
217,0.45822605,0.1083802
218,13.21888,-7.3136015
219,12.357825,15.898882
220,-4.6335053,10.968418
221,0.3036625,1.7574685
222,0.56044316,-0.93652296
223,-6.870889,-0.7029047
224,13.430719,-7.137832
225,13.245391,-7.322228
226,13.274681,-7.304223
227,13.552497,-6.8696213
228,12.082003,-7.2998905
229,0.31647104,0.30946437
230,11.067572,-4.0629334
231,12.103333,-7.304643
232,12.115633,-7.305485
233,12.463321,-7.36947
234,12.403826,-7.3606467
235,1.4958005,0.015246537
236,0.7738767,-1.2270303
237,1.3425131,-0.61133146
238,0.29982892,0.2454592
239,0.46911386,0.18299352
240,2.0281467,15.963927
241,-2.7935622,10.435905
242,-7.7293234,1.350958
243,1.6052799,0.06800323
244,1.6877924,0.22019516
245,-4.804699,3.706203
246,12.530084,-7.380251
247,7.037543,19.014635
248,0.5568626,1.500855
249,-0.40908644,1.322006
250,1.0649378,2.4447753
251,-2.6104848,13.218238
252,13.536694,-6.77845
253,-5.773875,2.0815294
254,-0.3875325,-2.2981522
255,-4.155138,12.536439
256,-4.1016984,1.2045745
257,0.89131975,2.3099673
258,13.421179,-0.26216075
259,12.34027,-7.3489347
260,1.6715428,0.18956555
261,-3.4421945,11.444193
262,-4.143501,1.1962873
263,12.783786,-7.419648
264,14.840838,2.3767042
265,12.573188,-7.3899484
266,-2.688736,-0.6148948
267,-3.5505135,11.344389
268,2.0691411,1.9108627
269,-4.4415026,9.614067
270,0.54272395,0.65749156
271,-3.8696604,-1.7140326
272,-4.042832,3.7385209
273,2.1887846,1.4802898
274,2.3654513,1.9292523
275,0.31437504,-0.07200904
276,-0.8445993,0.7759045
277,0.120013304,1.7900107
278,-3.686462,9.990189
279,0.84447515,-0.67384845
280,0.7559298,2.2063136
281,1.1055441,2.624949
282,-1.7335631,3.861255
283,1.2528591,-0.2554804
284,-0.27556002,-2.853556
285,1.5611653,2.59702
286,-1.6025999,-0.32350203
287,0.44415614,0.7164533
288,13.122646,-7.686039
289,0.6010268,2.7970347
290,15.378691,0.3142259
291,13.5522585,-7.7544956
292,-4.3297596,3.8155344
293,1.4908377,-3.0576577
294,1.5091665,2.6288655
295,-3.5179925,-1.7107904
296,15.168039,-0.5233185
297,-5.2121787,3.9705637
298,6.288299,18.965647
299,-1.1698824,-1.2712178
300,13.089781,-8.415719
301,-1.1377196,-0.93353844
302,0.45842883,2.8993988
303,-1.6057568,0.5232943
304,-2.7421327,2.5139062
305,13.059505,15.986487
306,0.14442143,1.9375082
307,13.510491,-6.9868126
308,13.296222,-7.339077
309,14.780019,2.293023
310,0.9902998,-1.0331135
311,0.5746807,-0.790429
312,1.190769,2.4610767
313,12.235303,10.862432
314,-3.4748456,9.970977
315,-4.6031923,-2.2570286
316,14.303875,4.8026185
317,1.1933279,2.5083733
318,2.3453496,-3.9981234
319,-1.0811406,2.4051123
320,-4.28187,1.0335829
321,11.849071,5.960268
322,0.95773256,2.3803978
323,-1.0673368,2.2215044
324,1.3557787,2.6983783
325,-6.021913,9.710488
326,7.581625,19.009624
327,-3.3802962,-1.6612898
328,1.436201,-2.2503476
329,0.4062921,1.290765
330,1.5669417,0.07444069
331,1.7995864,-3.2615497
332,-1.1479807,1.1666971
333,4.7477317,19.741335
334,14.806756,2.3872235
335,12.832095,-8.486726
336,-1.6229476,3.5592592
337,-5.331369,2.7774513
338,-4.67853,-3.7183738
339,-0.8213146,2.3637865
340,-1.1716828,-0.9235385
341,0.7998629,0.64956266
342,12.845119,-8.486132
343,-6.1441555,5.1475124
344,-5.2176247,-3.6960127
345,0.767258,1.7165495
346,0.7804321,2.196404
347,12.949759,-8.386953
348,11.074339,-4.0541825
349,1.9554826,-2.9496758
350,11.090307,-4.0490437
351,2.16137,-3.3222709
352,-4.584422,2.1258965
353,-3.9922483,1.2540524
354,-2.4808404,13.931191
355,-7.8091235,3.7450895
356,-7.4058847,-1.1467327
357,12.870605,-8.4689865
358,-4.6216865,2.1614978
359,12.8592205,-8.477088
360,13.231133,-7.8401566
361,1.5832788,-2.3203986
362,14.089218,-7.733777
363,-4.7626023,-2.841275
364,1.4486759,2.4060814
365,-2.4652972,-0.13180749
366,18.028503,3.8723176
367,-4.367727,3.7742736
368,0.443746,0.6924137
369,-6.1522264,11.906506
370,12.274869,16.13332
371,3.7982821,18.615685
372,-0.08961284,2.436407
373,-1.8099008,-0.4229748
374,-3.1522586,11.254675
375,-3.0929368,9.371016
376,2.90137,-4.4600334
377,-2.743018,2.5360422
378,1.2701501,-1.9808323
379,12.845373,-8.483858
380,-2.4248343,2.5087402
381,1.1472256,-0.68057793
382,0.6838381,2.1223712
383,13.372889,-7.3669896
384,-5.4252687,2.7283561
385,-0.2433928,-4.2641826
386,9.152138,15.368903
387,6.745915,18.960747
388,-0.8064108,0.83829135
389,-3.5141873,2.2952416
390,-2.5614953,-0.6296369
391,12.732832,14.357102
392,1.1556252,2.5868783
393,0.25060058,2.6332965
394,-0.2627269,10.583271
395,0.347548,1.4069973
396,-0.32042107,-3.1313832
397,12.9085655,-8.441069
398,-1.0397353,-0.82179266
399,-1.718717,3.1735978
400,15.754455,0.33126572
401,1.5464545,-2.2902622
402,-0.69558936,-2.4624712
403,-2.719244,2.8715222
404,0.4224246,1.3896635
405,-2.5095167,13.078407
406,12.847414,-8.47305
407,5.4844584,19.502209
408,-6.224718,11.753575
409,-4.5128937,4.147316
410,-0.11381035,-4.351649
411,-3.539023,-1.6530313
412,0.33364692,-0.0019477005
413,-1.170589,-0.9235824
414,-1.0839765,-1.3298066
415,-0.19525486,-4.476603
416,1.720607,15.525681
417,-1.0139108,-1.1534325
418,2.238043,-3.8636928
419,11.067667,-4.0594277
420,1.7861818,16.384056
421,13.952037,-6.4788623
422,12.83561,-8.492976
423,16.063293,0.074700154
424,0.48163986,2.4419334
425,15.867353,0.36342183
426,1.9491577,1.0406911
427,0.65550464,-0.79063886
428,-5.24613,4.559763
429,11.358906,18.286863
430,12.928523,-0.14560814
431,0.3766832,2.378844
432,0.5809349,-0.73356754
433,1.1297448,2.3540668
434,-2.6934373,10.385085
435,-6.3811445,-0.13378067
436,-7.3507104,4.0399456
437,1.6214433,0.07309081
438,-1.9285074,-0.6760188
439,1.4092683,-2.6163168
440,17.223806,1.8748254
441,0.51312995,1.5375168
442,12.1972065,6.3802433
443,13.318315,-7.778422
444,1.3899531,-2.3604636
445,1.3645633,-2.5146804
446,-3.2860448,-1.2330024
447,2.3476079,-3.8242016
448,0.32747823,2.562378
449,-4.655651,3.490606
450,3.049002,17.891506
451,-2.7323442,-0.70832074
452,-0.8758356,-1.1054354
453,0.7384335,1.6455283
454,1.4641671,-2.3038666
455,1.3831488,2.6009154
456,-5.4899106,11.440007
457,12.986506,-8.41978
458,-3.0721035,2.1032872
459,12.955289,-8.442022
460,2.220551,-3.578791
461,-1.6153486,0.5474602
462,12.956445,-8.403833
463,0.9852744,-1.2332902
464,1.82757,-3.317675
465,-3.699646,1.4210489
466,-0.7768428,0.66823804
467,12.930169,-8.430697
468,-0.79483503,-1.7450886
469,12.992531,11.2347
470,-5.323771,11.053272
471,12.938831,-8.417884
472,11.074041,-4.0552354
473,13.586711,-6.7874646
474,13.503316,-7.1785116
475,13.553439,-6.8691883
476,13.548867,-6.8612003
477,13.554586,-6.8655405
478,-2.1127279,11.766525
479,1.0961807,-1.1988585
480,12.972549,-8.396352
481,13.118798,-8.23
482,13.273289,-7.8973646
483,-6.7855887,-0.6021701
484,1.9635277,1.0426916
485,-4.0555205,-2.0061553
486,11.113404,-4.041432
487,0.36335322,1.4247451
488,13.157939,-8.51203
489,-8.21045,1.4995962
490,1.2540187,-0.48432726
491,1.1383351,-1.4010873
492,-0.14422144,2.3408072
493,-1.9114637,-0.7361215
494,1.1087937,-1.8162541
495,13.138652,-8.50318
496,12.99021,-0.1726666
497,1.4264346,2.5620759
498,0.6251363,0.4996778
499,13.101612,-8.437754
500,0.4460679,0.6585481
501,-8.757754,1.5237328
502,-0.7214989,-1.2658985
503,-4.8240757,-3.6075013
504,14.338206,-0.04219446
505,0.3757457,1.4309262
506,-4.5176916,2.127093
507,-2.8761084,9.651371
508,13.17836,-8.212104
509,1.4707718,-3.0708117
510,1.9077587,-3.1181414
511,0.65531564,1.9881724
512,-2.8170004,9.561515
513,1.3073318,-0.46389824
514,-3.2342947,10.011908
515,-1.028194,1.7449244
516,-2.542624,13.682697
517,0.53669864,-0.7405955
518,13.1228695,-8.454977
519,0.6581619,2.016467
520,0.8236311,2.765608
521,13.51811,-7.51811
522,1.1207724,2.963945
523,1.2784432,2.4380233
524,-3.7830126,1.4662881
