,embedding_x,embedding_y
158,-8.497225,7.7403283
159,-8.176998,8.596099
160,-8.497383,8.106505
161,8.511127,-3.614202
162,7.7791624,-4.358143
163,9.758319,-3.3047152
164,7.0006886,19.94698
165,-10.816775,2.5932028
166,12.52952,5.6139135
167,1.5577439,2.147923
168,-6.2334886,-8.569558
169,5.1815495,-14.382992
170,7.849597,-4.2663426
171,-2.0307767,5.2667384
172,4.9770613,-13.417641
173,13.669629,-4.0834613
174,6.486549,-11.912046
175,4.7736773,-14.973771
176,15.848631,-1.8872925
177,-0.16785759,4.830609
178,-4.2050643,-2.1998181
179,7.1290526,3.1402469
180,4.773205,-14.975719
181,-0.7526382,5.2939544
182,5.312721,-13.963807
183,13.541855,-3.960332
184,5.1259956,-13.409673
185,13.109231,5.1189055
186,9.811425,7.880071
187,7.8258305,-5.283539
188,4.6430974,-15.531082
189,2.327513,13.707647
190,6.100332,-13.283688
191,7.609219,-12.946158
192,-1.2392154,4.7153664
193,-10.158961,0.8730553
194,4.6688876,-15.473967
195,-1.5065681,5.0264034
196,12.024088,8.3967285
197,-14.36062,-2.8338091
198,-10.16167,0.8600319
199,-10.810771,2.6006422
200,8.227399,-3.8728135
201,-10.216105,0.7313984
202,-10.827562,2.5182884
203,15.75783,-1.6478951
204,-4.2209034,-9.985553
205,11.283284,3.0214562
206,-14.466786,-2.8467226
207,5.7097735,-11.672451
208,-1.5828209,4.868965
209,1.5803249,13.689683
210,2.6987646,-5.1212363
211,6.2846246,-13.209761
212,9.358495,3.811627
213,13.204612,5.925688
214,5.2452555,6.3514647
215,-9.219973,-2.70747
216,11.147166,2.1449835
217,5.067491,-13.468122
218,3.4095182,13.51293
219,-1.3036135,4.740946
220,11.71877,3.1554158
221,4.702811,-14.529805
222,15.622936,-1.5298603
223,1.9586711,1.5179243
224,7.800397,-5.432887
225,3.5413432,13.44795
226,-0.83302414,8.5168085
227,12.720536,-7.914637
228,-7.2990074,14.654251
229,14.988317,-1.7555873
230,9.883525,-13.508952
231,-7.2990932,14.65428
232,-8.33506,-11.553224
233,-14.053159,-2.716525
234,-14.46648,-2.8303123
235,4.6662416,-15.443847
236,14.903886,-1.8259343
237,8.720084,3.5960655
238,15.768562,-1.5449996
239,4.967472,-11.211359
240,11.030427,1.5185635
241,13.846001,-4.0234246
242,13.410971,6.0901737
243,4.591087,-15.6527605
244,4.6293063,-15.591501
245,7.7794166,-4.186547
246,-4.2085156,-2.2222483
247,14.304472,-4.10432
248,2.6571789,-4.8294067
249,15.315425,-1.5767367
250,4.968542,-11.203035
251,13.259682,4.902054
252,12.718716,-7.9113874
253,9.206997,5.7124524
254,9.063235,-4.3755374
255,2.366044,13.676267
256,7.9420905,-5.7594724
257,7.617741,-12.9422
258,12.98503,9.638695
259,-9.842944,-7.2485266
260,4.612543,-15.588335
261,8.765343,9.934145
262,7.8155804,-3.900273
263,-0.04319421,13.604088
264,18.264578,-6.18869
265,-8.498294,7.763022
266,7.7247276,-4.3986044
267,9.169385,-2.9363701
268,4.8187,-14.674348
269,9.751775,-5.630383
270,4.679954,-11.063424
271,6.206228,5.0476108
272,6.4458337,-11.826536
273,4.653902,-15.497852
274,4.6218343,-12.55371
275,14.895664,-1.809979
276,5.906971,-11.044811
277,7.6632295,-11.486698
278,6.449112,-11.97581
279,4.7570834,-11.7275095
280,1.9935964,1.474158
281,7.4485464,-12.931798
282,6.0172534,-13.343328
283,4.6653767,-15.465554
284,6.022131,4.0091505
285,4.4207354,-12.60437
286,2.672532,-5.0849204
287,7.7790804,-11.150411
288,0.43383512,13.17558
289,4.9988446,-14.457167
290,11.719024,1.8254795
291,12.062127,8.9805355
292,18.546804,-5.950984
293,7.069112,3.2312503
294,4.509542,-12.602841
295,9.49597,4.8114786
296,11.949987,8.543382
297,-0.3626812,4.9258394
298,14.172452,-4.119618
299,14.830586,-1.96173
300,-6.3335767,1.8412814
301,6.2272763,-10.496679
302,8.043878,-12.657956
303,15.1307955,-1.5846574
304,6.1934557,-10.612706
305,-10.8378725,2.6065757
306,4.8722234,-11.201162
307,6.4869723,-11.992433
308,3.5291405,13.456627
309,18.2658,-6.187597
310,3.0383327,-4.605601
311,5.0637136,-13.506345
312,7.5624695,-12.957987
313,7.7314935,-3.6696258
314,13.954486,-4.0349574
315,5.3472037,13.254562
316,11.556976,1.6821585
317,4.4107747,-12.559849
318,8.233816,2.8617797
319,6.202907,-10.533603
320,8.440058,-3.7089853
321,12.321767,9.436783
322,7.6090207,-12.943333
323,15.505838,-1.7449404
324,4.633848,-12.546218
325,2.3575785,13.684669
326,9.791061,-5.5745516
327,9.289217,5.0999393
328,9.422514,-3.9637184
329,4.7265677,-11.751139
330,8.849936,-3.2727473
331,7.156843,3.1330392
332,4.7899017,-14.963862
333,-11.74494,3.6282158
334,18.30792,-6.1427236
335,-7.2991076,14.654313
336,6.4227037,-13.165741
337,9.084129,-3.0109825
338,-7.1050715,5.072237
339,15.516131,-1.8003112
340,15.657108,-1.5804738
341,4.977585,-13.628479
342,-7.2989745,14.654066
343,-1.1746132,5.458772
344,-11.945699,-3.7875385
345,6.9865007,19.96124
346,4.8459992,-14.322136
347,-6.4105372,1.2491887
348,9.874961,-13.499467
349,6.163878,3.9755912
